theta,log_moneyness,total_variance,implied_vol
0.014810126582278482,-0.5959595959595959,0.018004262718802604,0.189759124780879
0.014810126582278482,-0.5757575757575757,0.01789234773446126,0.18916843148084334
0.014810126582278482,-0.5555555555555556,0.017780642522900413,0.18857700030969002
0.014810126582278482,-0.5353535353535352,0.017669151321449247,0.1879848468438307
0.014810126582278482,-0.5151515151515151,0.01755787846656134,0.1873919873770559
0.014810126582278482,-0.4949494949494949,0.01744682839611583,0.1867984389448468
0.014810126582278482,-0.4747474747474747,0.01733600565175272,0.18620421934936232
0.014810126582278482,-0.4545454545454545,0.017225414881240835,0.18560934718510722
0.014810126582278482,-0.43434343434343425,0.01711506084087676,0.18501384186528724
0.014810126582278482,-0.41414141414141414,0.01700494839791286,0.18441772364885572
0.014810126582278482,-0.3939393939393939,0.01689508253301228,0.18382101366825437
0.014810126582278482,-0.3737373737373737,0.016785468342728357,0.18322373395784924
0.014810126582278482,-0.3535353535353535,0.01667611104200594,0.1826259074830619
0.014810126582278482,-0.33333333333333326,0.016567015966701387,0.1820275581701924
0.014810126582278482,-0.31313131313131304,0.01645818857611802,0.18142871093692983
0.014810126582278482,-0.2929292929292928,0.016349634455553243,0.1808293917235428
0.014810126582278482,-0.2727272727272727,0.016241359318853274,0.1802296275247401
0.014810126582278482,-0.2525252525252525,0.016133369010970944,0.1796294464221885
0.014810126582278482,-0.23232323232323226,0.016025669510521697,0.17902887761767206
0.014810126582278482,-0.21212121212121204,0.015918266932332323,0.1784279514668726
0.014810126582278482,-0.19191919191919182,0.015811167529976595,0.17782669951374902
0.014810126582278482,-0.1717171717171716,0.015704377698291444,0.1772251545254874
0.014810126582278482,-0.1515151515151515,0.01559790397586668,0.17662335052799039
0.014810126582278482,-0.13131313131313127,0.01549175304750078,0.17602132284186925
0.014810126582278482,-0.11111111111111105,0.015385931746614694,0.17541910811889733
0.014810126582278482,-0.09090909090909083,0.015280447057614843,0.17481674437887718
0.014810126582278482,-0.07070707070707061,0.015175306118195954,0.1742142710468689
0.014810126582278482,-0.050505050505050386,0.015070516221573684,0.17361172899072047
0.014810126582278482,-0.030303030303030276,0.014966084818636139,0.17300916055883364
0.014810126582278482,-0.010101010101010055,0.014862019520002765,0.17240660961809304
0.014810126582278482,0.010101010101010166,0.014758328097978321,0.17180412159187755
0.014810126582278482,0.030303030303030498,0.014655018488388695,0.17120174349806544
0.014810126582278482,0.05050505050505061,0.01455209879228467,0.17059952398693656
0.014810126582278482,0.07070707070707072,0.014449577277498763,0.16999751337886543
0.014810126582278482,0.09090909090909105,0.014347462380039517,0.1693957637016907
0.014810126582278482,0.11111111111111116,0.014245762705306574,0.16879432872763572
0.014810126582278482,0.1313131313131315,0.014144487029109141,0.1681932640096454
0.014810126582278482,0.1515151515151516,0.014043644298469429,0.16759262691699434
0.014810126582278482,0.1717171717171717,0.013943243632191798,0.1669924766700093
0.014810126582278482,0.19191919191919204,0.013843294321177415,0.1663928743737388
0.014810126582278482,0.21212121212121215,0.013743805828463384,0.1657938830503911
0.014810126582278482,0.2323232323232325,0.013644787788964368,0.16519556767034863
0.014810126582278482,0.2525252525252526,0.013546250008893987,0.16459799518155735
0.014810126582278482,0.27272727272727293,0.013448202464842348,0.16400123453707505
0.014810126582278482,0.29292929292929304,0.013350655302485451,0.16340535672055218
0.014810126582278482,0.31313131313131315,0.01325361883490141,0.16281043476940543
0.014810126582278482,0.3333333333333335,0.013157103540467873,0.16221654379543335
0.014810126582278482,0.3535353535353536,0.013061120060314525,0.16162376100261078
0.014810126582278482,0.3737373737373739,0.012965679195304041,0.1610321657017879
0.014810126582278482,0.39393939393939403,0.012870791902514698,0.16044183932200914
0.014810126582278482,0.41414141414141437,0.012776469291197533,0.1598528654181559
0.014810126582278482,0.4343434343434345,0.01268272261818108,0.15926532967460985
0.014810126582278482,0.4545454545454546,0.012589563282696748,0.1586793199046224
0.014810126582278482,0.4747474747474749,0.012497002820598404,0.15809492604507208
0.014810126582278482,0.49494949494949503,0.012405052897950157,0.15751224014628296
0.014810126582278482,0.5151515151515154,0.012313725303957235,0.15693135635657543
0.014810126582278482,0.5353535353535355,0.012223031943215914,0.1563523709012173
0.014810126582278482,0.5555555555555556,0.0121329848272597,0.15577538205544353
0.014810126582278482,0.5757575757575759,0.012043596065380718,0.15520049011121528
0.014810126582278482,0.595959595959596,0.0119548778547071,0.154627797337394
0.014810126582278482,0.6161616161616164,0.011866842469519438,0.1540574079330133
0.014810126582278482,0.6363636363636365,0.01177950224979205,0.15348942797334317
0.014810126582278482,0.6565656565656568,0.011692869588947656,0.1529239653484545
0.014810126582278482,0.6767676767676769,0.011606956920817457,0.15236112969400992
0.014810126582278482,0.696969696969697,0.011521776705802324,0.15180103231402825
0.014810126582278482,0.7171717171717173,0.011437341416234773,0.15124378609539482
